"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,1.0241,1.0244,1.0116,1.0128,28717,48948
2016-02-12,1.0294,1.0305,1.0226,1.0261,25119,49617
2016-02-11,1.0287,1.0362,1.0256,1.0294,40790,51440
2016-02-10,1.0293,1.0312,1.0197,1.029,67777,52250
2016-02-09,1.0141,1.0329,1.0139,1.0298,43325,53368
2016-02-08,1.0096,1.0176,1.0041,1.0165,30591,54092
2016-02-05,1.0075,1.0133,1.0029,1.0099,34705,55405
2016-02-04,0.9973,1.0093,0.9941,1.0087,41376,57884
2016-02-03,0.983,1.0028,0.9823,0.9964,82871,59059
2016-02-02,0.9818,0.9847,0.9769,0.9819,21663,57950
2016-02-01,0.978,0.9863,0.9771,0.9825,25098,58256
2016-01-29,0.9878,0.9884,0.9766,0.9774,36870,57118
2016-01-28,0.9875,0.9953,0.9842,0.9885,21879,56478
2016-01-27,0.9845,0.9889,0.9831,0.9878,47397,55446
2016-01-26,0.9891,0.9902,0.9823,0.9846,17030,53699
2016-01-25,0.9857,0.995,0.9851,0.9867,15479,52356
2016-01-22,0.9946,0.995,0.9855,0.9856,20055,50104
2016-01-21,0.997,1.0007,0.9875,0.9949,34357,49736
2016-01-20,0.9987,1.003,0.9965,0.9974,20705,49068
2016-01-19,1.0011,1.0019,0.9939,1,22164,48038
2016-01-15,0.9974,1.0064,0.9962,1.0001,19662,48436
2016-01-14,0.9964,1.0012,0.9931,0.997,18543,47305
2016-01-13,0.9995,0.9997,0.9918,0.996,35550,46220
2016-01-12,1.0014,1.0058,0.9978,1,12174,46183
2016-01-11,1.0098,1.0149,1.0003,1.0028,13908,46689
2016-01-08,1.0089,1.0091,0.997,1.007,20774,48332
2016-01-07,0.9951,1.0101,0.9943,1.0099,26451,49985
2016-01-06,0.9944,0.997,0.9897,0.9964,13856,50102
2016-01-05,1.001,1.0023,0.9905,0.9944,17110,50060
2016-01-04,1.0032,1.0107,0.9966,1.0008,21867,50129
2015-12-31,1.0142,1.0159,1.0005,1.0032,14726,48709
2015-12-30,1.0111,1.0163,1.0102,1.0158,16940,48939
2015-12-29,1.0162,1.0176,1.0092,1.0126,9198,48867
2015-12-28,1.0172,1.0183,1.0135,1.0161,6816,49143
2015-12-24,1.0134,1.0188,1.0126,1.0166,4405,49401
2015-12-23,1.0165,1.0165,1.0092,1.0129,22156,50116
2015-12-22,1.0119,1.0185,1.0104,1.0163,9580,50562
2015-12-21,1.012,1.0146,1.0073,1.0128,13601,51128
2015-12-18,1.0089,1.0129,1.0064,1.0119,15346,51426
2015-12-17,1.0136,1.0136,1.0049,1.0065,18447,52049
2015-12-16,1.0134,1.0238,1.0126,1.0212,49521,52326
2015-12-15,1.0194,1.0249,1.0119,1.014,17978,52346
2015-12-14,1.0202,1.0263,1.0171,1.0196,19891,53625
2015-12-11,1.0158,1.0241,1.0142,1.0221,21423,52929
2015-12-10,1.0209208502224,1.0211215818092,1.0130923183391,1.0152,34558,46838
2015-12-09,1.0114864656451,1.0223259713297,1.0093787839842,1.0210212160158,84251,52646
2015-12-08,1.003457202175,1.0121890261987,1.0028550074147,1.0112857340583,51345,56710
2015-12-07,1.0067692733564,1.0075721997034,1.0006469599605,1.0043604943154,28660,65735
2015-12-04,1.0108842708848,1.0128915867523,1.0005465941671,1.00747183391,37244,70451
2015-12-03,0.9856924567474,1.0167054869006,0.97756282748393,1.0157018289669,63209,77028
2015-12-02,0.97826538803757,0.98639501730104,0.97415039050914,0.98539135936728,68319,75398
2015-12-01,0.97635843796342,0.97926904597133,0.97465221947603,0.97726173010381,24344,75711
2015-11-30,0.97465221947603,0.97886758279782,0.97304636678201,0.97696063272368,43398,76312
2015-11-27,0.98288221453287,0.98308294611962,0.97214307464162,0.97555551161641,21923,73806
2015-11-25,0.98749904102818,0.99000818586258,0.9785664854177,0.98288221453287,51164,71890
2015-11-24,0.98589318833416,0.9899078200692,0.98519062778052,0.9895063568957,20947,71774
2015-11-23,0.98519062778052,0.98709757785467,0.98207928818586,0.9852909935739,35918,71872
2015-11-20,0.99101184379634,0.99211586752348,0.98478916460702,0.98589318833416,24734,69328
2015-11-19,0.98468879881364,0.9920155017301,0.98438770143351,0.99151367276322,24666,68200
2015-11-18,0.99000818586258,0.99181477014335,0.9827818487395,0.98468879881364,55751,66320
2015-11-17,0.99462501235788,0.99522720711814,0.98759940682155,0.98980745427583,23790,64870
2015-11-16,0.99823818091943,1.0001451309936,0.99422354918438,0.99452464656451,19124,64216
2015-11-13,1.003457202175,1.0045612259021,0.99512684132477,0.99713415719229,54272,61395
2015-11-12,1.0004462283737,1.0056652496293,0.99603013346515,1.0031561047949,28838,60089
2015-11-11,0.9983385467128,1.0017509836876,0.99743525457242,0.99924183885319,18174,59471
2015-11-10,1.0009480573406,1.0028550074147,0.99613049925853,0.9979370835393,19899,59008
2015-11-09,0.99884037567968,1.0048623232823,0.99843891250618,1.0013495205141,23708,58359
2015-11-06,1.0090776866041,1.0102820761246,0.99703379139891,0.99853927829956,30135,54059
2015-11-05,1.0112857340583,1.0126908551656,1.0068696391498,1.0096798813643,19682,52380
2015-11-04,1.0141963420662,1.0164043895205,1.0096798813643,1.0106835392981,36912,51714
2015-11-03,1.0177091448344,1.0208204844291,1.0121890261987,1.0145978052397,16631,50254
2015-11-02,1.0189135343549,1.0216234107761,1.0159025605536,1.0182109738013,13151,48246
2015-10-30,1.0163040237271,1.0206197528423,1.0139956104795,1.016805852694,22655,44931
2015-10-29,1.0107839050914,1.0166051211073,1.0093787839842,1.0146981710331,22842,41199
2015-10-28,1.0189135343549,1.0235303608502,1.0092784181908,1.0101817103312,23739,38267
2015-10-27,1.0226270687098,1.0249354819575,1.017608779041,1.0189135343549,19223,36017
2015-10-26,1.026139871478,1.0302548690064,1.0215230449827,1.0218241423628,21648,34708
2015-10-23,1.033065111221,1.0350724270885,1.0255376767177,1.0259391398913,21994,35571
2015-10-22,1.0482203460208,1.0493243697479,1.0319610874938,1.0321618190806,28562,35895
2015-10-21,1.0515324172022,1.0551455857637,1.0462130301532,1.0484210776075,12611,35508
2015-10-20,1.0517331487889,1.0590598517054,1.050428393475,1.0507294908552,12417,35397
2015-10-19,1.0543426594167,1.0559485121107,1.0497258329214,1.0514320514088,10960,36057
2015-10-16,1.0572532674246,1.0587587543253,1.0525360751359,1.0571529016312,13070,36353
2015-10-15,1.059762412259,1.0610671675729,1.0526364409293,1.0576547305981,20040,35014
2015-10-14,1.0500269303015,1.0604649728127,1.0491236381611,1.0598627780524,16182,34837
2015-10-13,1.0449082748393,1.0525360751359,1.0425998615917,1.0494247355413,14948,35160
2015-10-12,1.0461126643599,1.048019614434,1.0442057142857,1.0468152249135,9049,35682
2015-10-09,1.0413954720712,1.0492240039545,1.039488521997,1.0469155907069,14336,36970
2015-10-08,1.0328643796342,1.0452093722195,1.0327640138408,1.0406929115175,17182,38076
2015-10-07,1.0401910825507,1.0425998615917,1.0326636480475,1.0344702323282,17056,38754
2015-10-06,1.0304556005932,1.0408936431043,1.0299537716263,1.0406929115175,12335,39564
2015-10-05,1.0353735244686,1.03868559565,1.0299537716263,1.0308570637667,10586,38973
2015-10-02,1.0294519426594,1.043202056352,1.0271435294118,1.0366782797825,22800,39222
2015-10-01,1.0327640138408,1.0348716955017,1.0278460899654,1.0291508452793,14573,38573
2015-09-30,1.0365779139891,1.0365779139891,1.029351576866,1.0319610874938,14251,38169
2015-09-29,1.0335669401878,1.0387859614434,1.0322621848739,1.0366782797825,14170,38769
2015-09-28,1.0276453583786,1.0351727928819,1.0252365793376,1.0323625506673,13405,39598
2015-09-25,1.0290504794859,1.0329647454276,1.0224263371231,1.0268424320316,17421,37904
2015-09-24,1.0281471873455,1.0410943746911,1.0264409688581,1.0307566979733,17483,37521
2015-09-23,1.0323625506673,1.0339684033613,1.0268424320316,1.0298534058329,14227,36925
2015-09-22,1.0356746218487,1.0369793771626,1.0320614532872,1.0324629164607,11707,36786
2015-09-21,1.037882669303,1.044004982699,1.0335669401878,1.0367786455759,15403,36090
2015-09-18,1.0466144933267,1.056550706871,1.0372804745428,1.0442057142857,18500,36691
2015-09-17,1.0366782797825,1.049625467128,1.0353735244686,1.047216688087,19939,36274
2015-09-16,1.0341691349481,1.0414958378646,1.0314592585269,1.0366782797825,15639,37812
2015-09-15,1.0398899851705,1.0416965694513,1.0313588927336,1.0332658428077,12385,36753
2015-09-14,1.0391874246169,1.0415962036579,1.0359757192289,1.0393881562037,10862,36009
2015-09-11,1.0341691349481,1.0400907167573,1.0278460899654,1.0390870588235,20933,32952
2015-09-10,1.0323522632467,1.038092029049,1.0284250550662,1.035473890262,28301,29408
2015-09-09,1.0293313338771,1.0364808667185,1.0252027304053,1.0339634255772,28145,31934
2015-09-08,1.0368836573011,1.038394121986,1.0255048233422,1.0266124974444,21676,33691
2015-09-04,1.0340641232228,1.040408074899,1.0308417985619,1.0350710996794,17168,33753
2015-09-03,1.0395017960882,1.0402066796077,1.0306404032706,1.0343662161598,18219,34345
2015-09-02,1.0509813276927,1.0509813276927,1.038394121986,1.0389983078599,16568,34216
2015-09-01,1.0419185395839,1.0526931876689,1.0415157490012,1.048564584197,20372,34334
2015-08-31,1.046248538347,1.0507799324014,1.0396024937338,1.0429255160404,14001,34808
2015-08-28,1.0432276089774,1.0516862112123,1.0421199348752,1.0460471430557,19526,35352
2015-08-27,1.0559155123298,1.0590371393451,1.0416164466469,1.0440331901426,20862,36377
2015-08-26,1.0724299262171,1.0737389956106,1.0547071405819,1.0582315581798,24623,36992
2015-08-25,1.0812913190346,1.0823989931368,1.0600441158016,1.0679992298083,32277,38691
2015-08-24,1.0640720216278,1.0884408518761,1.0623601616517,1.0817948072629,43883,40167
2015-08-21,1.0513841182753,1.0650789980843,1.0501757465275,1.0627629522343,26269,41334
2015-08-20,1.0441338877882,1.051484815921,1.0420192372295,1.0478597006775,40878,41905
2015-08-19,1.0310431938532,1.0451408642448,1.0306404032706,1.0441338877882,21041,42772
2015-08-18,1.0298348221054,1.0333592397032,1.0288278456488,1.0309424962075,11460,42353
2015-08-17,1.0314459844358,1.0345676114511,1.0284250550662,1.0312445891445,13140,41812
2015-08-14,1.0323522632467,1.0360780761359,1.0297341244597,1.0318487750184,10639,41091
2015-08-13,1.0338627279315,1.0357759831989,1.0290292409401,1.0316473797271,15425,40989
2015-08-12,1.0196643598943,1.0418178419382,1.019160871666,1.0346683090968,31030,42842
2015-08-11,1.024699242177,1.0284250550662,1.0178518022725,1.018858778729,20790,42010
2015-08-10,1.0245985445313,1.0283243574205,1.019160871666,1.0247999398226,15918,41159
2015-08-07,1.0274180786097,1.029633426814,1.0196643598943,1.0253034280509,21241,39779
2015-08-06,1.0291299385858,1.0319494726641,1.0235915680748,1.0275187762553,16683,37627
2015-08-05,1.0308417985619,1.0330571467663,1.0264111021531,1.0290292409401,16344,36944
2015-08-04,1.0399045866708,1.0429255160404,1.029633426814,1.0300362173967,17501,34540
2015-08-03,1.0424220278121,1.0455436548274,1.0390990055055,1.0396024937338,11685,33106
2015-07-31,1.040408074899,1.0561169076211,1.0403073772534,1.0418178419382,28484,33284
2015-07-30,1.0423213301665,1.0426234231034,1.0374878431751,1.0394010984425,15133,32960
2015-07-29,1.0474569100948,1.0505785371101,1.0406094701904,1.04363039956,16308,31931
2015-07-28,1.0483631889057,1.0498736535905,1.0423213301665,1.0469534218666,16155,30804
2015-07-27,1.0470541195122,1.0583322558255,1.0468527242209,1.0472555148035,20966,30050
2015-07-24,1.0509813276927,1.0534987688341,1.0465506312839,1.0478597006775,31086,28882
2015-07-23,1.0504778394645,1.0589364416994,1.0502764441732,1.0531966758971,17683,28983
2015-07-22,1.0521896994406,1.0549085358732,1.0471548171579,1.049168770071,11820,28027
2015-07-21,1.0458457477644,1.0552106288102,1.0453422595361,1.0526931876689,13495,26291
2015-07-20,1.0487659794883,1.0505785371101,1.0457450501187,1.0461478407013,13210,25112
2015-07-17,1.0535994664797,1.0555127217472,1.0483631889057,1.0499743512362,10745,23994
2015-07-16,1.0597420228646,1.0602455110929,1.0524917923775,1.0534987688341,12834,23661
2015-07-15,1.0672943462887,1.0685027180366,1.056721093495,1.0595406275733,31233,22006
2015-07-14,1.061957371069,1.0739403909019,1.0585336511168,1.0676971368713,17132,22596
2015-07-10,1.0644748122104,1.0816941096173,1.0640720216278,1.0719264379888,22207,23072
2015-07-09,1.0669922533517,1.0710201591779,1.0605476040299,1.0638706263365,16054,23251
2015-07-08,1.0659852768952,1.073034112091,1.0614538828408,1.0673950439344,36072,23370
2015-07-07,1.0712215544692,1.0716243450518,1.0609503946125,1.0667908580604,16517,21996
2015-07-06,1.0692076015561,1.0741417861932,1.0658845792496,1.070718066241,13151,21882
2015-07-02,1.0652803933756,1.0720271356345,1.062259464006,1.0699124850757,16182,21994
2015-07-01,1.0800829472868,1.080888528452,1.0638706263365,1.0640720216278,23002,21106
2015-06-30,1.091663176537,1.0920659671196,1.0764578320432,1.0796801567042,23044,21168
2015-06-29,1.0750480650041,1.0924687577023,1.0710201591779,1.0909582930174,26089,21011
2015-06-26,1.078572482602,1.0859234107347,1.0772634132085,1.0780689943737,17327,21573
2015-06-25,1.0816941096173,1.0828017837195,1.0723292285714,1.0784717849563,15453,21670
2015-06-24,1.0804857378694,1.0881387589391,1.0778675990824,1.0813920166803,14809,21531
2015-06-23,1.0957917800088,1.0964966635284,1.075652250878,1.0796801567042,22550,21584
2015-06-22,1.1006252670002,1.1031427081416,1.0949861988436,1.0961945705915,18245,20712
2015-06-19,1.0959931753002,1.1025385222677,1.0920659671196,1.1013301505198,13241,20421
2015-06-18,1.0957917800088,1.1040489869525,1.0924687577023,1.0956910823632,25598,19636
2015-06-17,1.0833052719477,1.0980071282132,1.0833052719477,1.0958924776545,16421,19515
2015-06-16,1.0863262013174,1.0897499212696,1.0817948072629,1.0837080625303,11353,19970
2015-06-15,1.0873331777739,1.0892464330413,1.0765585296889,1.0848157366325,17094,19077
2015-06-12,1.0810899237433,1.0933750365131,1.0758536461693,1.0885415495217,22624,17005
2015-06-11,1.08411916777,1.0865435863338,1.0735123365535,1.0814927143259,25057,20922
2015-06-10,1.0853313770519,1.0943219292259,1.0835130631291,1.0843212026504,21549,24017
2015-06-09,1.0895741095385,1.0928066676236,1.0827049236078,1.0850283247315,18990,26458
2015-06-08,1.0742194586346,1.0896751269787,1.0715930051905,1.0873517258551,23220,28839
