"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2015-10-15,1979.9409294918,2010.8152598813,1979.8413348777,2010.8152598813,9455,103092
2015-10-14,1982.9287679166,1993.3862024034,1974.9611987838,1975.9571449254,3772,103864
2015-10-13,2003.744042276,2006.1343130158,1983.2275517591,1985.8170117272,2911,104771
2015-10-12,1998.3659331113,2005.2379614883,1994.382148545,2002.7480961344,2587,104596
2015-10-09,1996.8720138989,2005.636339945,1990.8963370494,1999.2622846388,4751,108446
2015-10-08,1979.2437671927,2000.8557984653,1962.8106558564,1998.4655277255,7475,108934
2015-10-07,1953.7475459679,1982.6299840741,1953.3491675112,1979.1441725785,6511,108921
2015-10-06,1964.6033589112,1973.9652526422,1954.5443028811,1960.6195743449,5090,107498
2015-10-05,1932.633487766,1971.9733603591,1930.143622412,1966.6948458086,5562,107122
2015-10-02,1910.2246995801,1935.6213261908,1875.5657738526,1935.2229477342,5960,104935
2015-10-01,1893.9907774721,1921.1801071377,1882.8361806863,1909.0295642102,6247,101858
2015-09-30,1869.3909077747,1902.5559142899,1864.8095555234,1900.9624004633,7626,101788
2015-09-29,1871.3828000579,1881.8402345447,1853.95374258,1866.9010424207,7149,104297
2015-09-28,1905.742941943,1921.1801071377,1861.423338642,1864.5107716809,6681,103715
2015-09-25,1912.2165918633,1942.0949761112,1903.253076589,1911.4198349501,6551,103286
2015-09-24,1924.1679455625,1928.0521355147,1890.1065875199,1911.0214564934,4512,103142
2015-09-23,1919.7857825395,1933.5298392935,1903.9502388881,1920.781728681,6094,101611
2015-09-22,1956.1378167077,1956.337005936,1910.2246995801,1924.2675401766,9947,98173
2015-09-21,1941.0990299696,1961.0179528015,1931.1395685536,1955.1418705661,3357,98235
2015-09-18,1942.6925437961,1942.6925437961,1942.6925437961,1942.6925437961,0,112216
2015-09-17,1964.7809215338,1991.89834956,1957.3852593449,1960.1463065621,12794,119754
2015-09-16,1951.9617737396,1970.4016247975,1950.4826413019,1970.4016247975,16670,129215
2015-09-15,1931.2539196106,1954.4269944693,1927.3095664431,1952.158991398,43583,153650
2015-09-14,1934.2121844861,1934.2121844861,1919.9139042542,1926.8165222972,23361,165646
2015-09-11,1918.4347718164,1934.2121844861,1911.5321537733,1932.9302697067,15947,170791
2015-09-10,1916.1667687451,1938.7481906287,1902.361532659,1922.477733813,31139,186101
2015-09-09,1937.6634935077,1963.9920509004,1909.0669330437,1915.6737245991,12689,183739
2015-09-08,1899.6004854418,1940.6217583832,1891.4159526194,1938.353755312,8299,186099
2015-09-04,1919.4208601082,1921.4916455211,1881.9495050175,1894.9658704701,22037,173570
2015-09-03,1921.3930366919,1945.0591556966,1914.9834627948,1919.0264247915,9053,170831
2015-09-02,1885.400814039,1921.5902543503,1881.8508961883,1920.0125130833,7184,168476
2015-09-01,1935.0010551196,1935.0010551196,1873.5677545367,1889.2465583773,22379,153983
2015-08-31,1958.4699564659,1958.4699564659,1932.7330520483,1941.8050643335,7282,149672
2015-08-28,1959.8504800745,1964.7809215338,1940.3259318957,1962.0198743166,7204,146266
2015-08-27,1914.6876363073,1961.9212654874,1908.3766712394,1961.6254389999,8644,157686
