"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2015-10-16,18356.908997164,18522.376901263,18311.781386955,18477.249291054,5835,47270
2015-10-15,17810.363495746,18371.9515339,17810.363495746,18331.838102604,11363,47671
2015-10-14,18216.511987626,18251.61124001,17780.278422274,17830.420211395,14072,47889
2015-10-13,18477.249291054,18482.263469966,18201.469450889,18216.511987626,11240,47562
2015-10-12,18447.164217582,18552.461974736,18336.852281516,18477.249291054,4181,47717
2015-10-09,18422.093323021,18577.532869296,18311.781386955,18452.178396494,9400,47906
2015-10-08,18452.178396494,18542.433616912,18156.341840681,18422.093323021,13661,46649
2015-10-07,18271.667955659,18592.575406032,18126.256767208,18482.263469966,16189,46620
2015-10-06,18467.22093323,18507.334364527,18191.441093065,18301.753029131,11136,46657
2015-10-05,17955.774684197,18572.518690384,17955.774684197,18492.291827791,15463,46476
2015-10-02,17775.264243362,18020.959010054,17389.172467131,18010.93065223,21336,47206
2015-10-01,17614.810518175,17995.888115494,17529.569476669,17765.235885538,13298,47280
2015-09-30,17354.073214746,17679.994844032,17313.959783449,17644.895591647,13750,46690
2015-09-29,17509.512761021,17539.597834493,17043.194122196,17323.988141274,16673,46702
2015-09-28,17900.618716164,17990.873936582,17424.271719515,17504.498582109,13307,47016
2015-09-25,17549.626192318,18161.356019593,17509.512761021,17925.689610724,22439,47533
2015-09-24,17725.122454241,17850.476927043,17208.662026295,17549.626192318,18352,47995
2015-09-23,17695.037380768,17880.562000516,17489.456045373,17720.108275329,8318,48171
2015-09-22,18101.185872648,18156.341840681,17554.64037123,17735.150812065,8265,48516
2015-09-21,17930.703789637,18166.370198505,17805.349316834,18111.214230472,6508,48430
2015-09-18,18351.894818252,18412.064965197,17820.391853571,17895.604537252,18880,48226
2015-09-17,18522.376901263,18717.929878835,18306.767208043,18321.80974478,13996,47525
2015-09-16,18296.738850219,18557.476153648,18141.299303944,18517.362722351,13878,46085
2015-09-15,18046.029904615,18392.008249549,17880.562000516,18301.753029131,16864,46751
2015-09-14,18266.653776747,18457.192575406,17935.717968549,18046.029904615,15430,45689
2015-09-11,18291.724671307,18402.036607373,18076.114978087,18266.653776747,15436,44722
2015-09-10,18386.994070637,18462.206754318,18005.916473318,18256.625418922,28630,42900
2015-09-09,18086.093772364,18813.349345573,18035.938215591,18266.653776747,45005,30967
2015-09-08,17619.647094374,18407.089335711,17429.055978637,18066.031549654,57715,45952
2015-09-04,18311.793777842,18382.011557325,17564.475981924,17689.864873856,27564,46688
2015-09-03,18387.027113002,18547.524894676,18231.544887005,18291.731555133,19864,49815
2015-09-02,17820.269321466,18547.524894676,17815.253765789,18366.964890293,28244,50038
2015-09-01,18893.59823641,18898.613792087,17805.222654434,17870.424878239,30917,50011
2015-08-31,19214.593799757,19214.593799757,18808.333789896,18868.520458023,14522,49768
2015-08-28,19069.142685115,19274.780467885,19008.956016988,19234.656022467,14922,49086
2015-08-27,18758.178233123,19139.360464598,18547.524894676,19084.189352147,25434,50366
2015-08-26,17820.269321466,18858.489346669,17694.880429534,18778.240455832,41956,50923
2015-08-25,17870.424878239,18918.676014796,17714.942652243,17820.269321466,56970,51195
2015-08-24,18998.924905633,19164.438242984,17223.418195867,17865.409322562,74117,52312
2015-08-21,19691.071589101,19766.304924261,18973.847127247,19034.033795374,36260,53545
2015-08-20,20107.362710318,20313.000493087,19650.947143683,19681.040477747,22281,53463
