"","FTSE100_returns_1984-05-08","Nikkei225_returns_1990-09-27","SP500_returns_1982-04-23","US_2Y_Note_returns_1990-06-26","US_30Y_returns_1977-08-24","AUD_returns_1987-01-15","CHF_returns_1975-02-18","GBP_returns_1975-02-18","Copper_returns_1959-07-07","Cotton_returns_1972-08-24","Brent_Crude_returns_1993-03-19","Heating_Oil_returns_bereinigt_1979-03-08","Natural_Gas_returns_1990-04-05","Gold_returns_1975-01-03","Platinum_returns_1969-01-06","Long_Gilt_returns_1990-08-21","US_5Y_Note_returns_1988-05-24","US_10Y_returns_1982-05-05"
"1999-11-08",0.00401569522432861,0.000517290580321746,0.00500188372217648,1.67839657318009,0.019115497844998,0.00869990312632907,0.000404732591652728,0.00517232414443243,-0.000690225019532815,0.00285611509491643,0.00156193041391969,-0.00168320563225627,0.000640531770298555,0.00132752674678558,-0.00115995983786939,0.00291386857911282,-0.757340949479509,0.0302504669498062
"1999-11-09",0.00401511497025805,0.000518135127946929,0.00500186843024677,1.67837176223134,0.01912391164481,0.00870125950924695,0.000405913496698453,0.00517117061145545,-0.000689915522902959,0.00285793760045361,0.00155912493289606,-0.00168191009499431,0.000642290164553659,0.00132831927431715,-0.00116128625868815,0.00291380412385371,-0.757286196826471,0.0302086965849776
"1999-11-10",0.00401508067916821,0.000518136015581427,0.00500189886588279,1.67837168017909,0.0191238226422344,0.00870126317189007,0.000405912374027231,0.00517115150493813,-0.000689917444700073,0.00285792664862746,0.00155909495350089,-0.00168189912230402,0.0006422938664748,0.00132833535994101,-0.00116133731928312,0.00291385173417999,-0.757285898749795,0.0302086046405488
"1999-11-11",0.00401741271099286,0.000526292108329704,0.00500879533942816,1.67831448225965,0.0191457339603782,0.00869547001928743,0.000417058880231328,0.00517535888062552,-0.000704166410598198,0.00285621056433822,0.00154566409207545,-0.00165837864716835,0.000641450358779945,0.00136266263267645,-0.00114125628565555,0.00291217566801751,-0.757334178371023,0.0302192122396349
"1999-11-12",0.00404047968877827,0.000516892192076575,0.00501373756518606,1.67835814859268,0.0191177439944604,0.00872598393913696,0.000436962685587944,0.00518093511922901,-0.000710949906549493,0.00285677070589706,0.00154172391369434,-0.00165277565778476,0.000634777240838698,0.00132882339411001,-0.00114577899537598,0.00291111865956846,-0.757473278021211,0.0303186848896804
"1999-11-15",0.0040241735989828,0.000513616177827538,0.00502361778793863,1.6783907695683,0.0191874552283257,0.00874321787650267,0.000429356702084565,0.005167985034649,-0.000713791497589027,0.0028552285765522,0.00153891048906882,-0.00164369273943659,0.000637583174251936,0.00130778344334933,-0.00113475845820764,0.00294452604980706,-0.757484644638762,0.0302126636263591
"1999-11-16",0.00401693062553459,0.000516866715558758,0.00502711420915141,1.67840537221131,0.0188043953055307,0.00873236561797524,0.0004280712335887,0.00515911666783866,-0.000717366214034543,0.00285793598216836,0.00153902872388947,-0.00164742083598365,0.000641341200605351,0.00131002104840787,-0.00114543898693686,0.00295934074305638,-0.75802794297052,0.0311402687228633
"1999-11-17",0.00401408959900492,0.000511354125798841,0.00508189635401886,1.67865378545821,0.018832727886359,0.00868468526486896,0.00046018800687476,0.00513965853095074,-0.00071501943670292,0.00282054024260994,0.00153524991724741,-0.00163140179894547,0.000634493315605816,0.00138361519087089,-0.00117943284197795,0.00302619099857314,-0.758552744411865,0.0313001235985029
"1999-11-18",0.00401445009765832,0.000510961036802195,0.00508298066013967,1.67866983276814,0.0188316047711455,0.00868943530495041,0.00045840923018471,0.00513859830543604,-0.000714731436859947,0.00281960763534476,0.00153550560814474,-0.00163328672108219,0.000634694804744957,0.00138430981272284,-0.00118078450116708,0.00302928844928745,-0.758619521593177,0.0313486457675827
"1999-11-19",0.004017769264726,0.000500993633813329,0.00508003307387619,1.67859009824747,0.018907494034161,0.00869068319264771,0.000478071117699557,0.00514397781025095,-0.000715689691471445,0.00281502852726285,0.00153130721427337,-0.00161898400058204,0.00063270274071316,0.00135182468355608,-0.00113704004211584,0.0030593609723592,-0.758529278106796,0.0312016473281565
"1999-11-22",0.00401666930133256,0.000501325439225083,0.00508019751954681,1.67860303295577,0.0189136661222229,0.00868990639077524,0.000477394228002244,0.00514581542347053,-0.000715387243251078,0.0028141459650658,0.0015321703750117,-0.00161863719825645,0.000632417814538124,0.00135508627928765,-0.00114068585342315,0.00305847341563122,-0.758544751107767,0.0311991601728231
"1999-11-23",0.00401446184663507,0.000502115148505841,0.00508080031376308,1.67860291140327,0.0189044847928231,0.00868784262510785,0.000477232169931591,0.00514490848193796,-0.000714894972711489,0.00281737363088585,0.00153535015208834,-0.00161876660190777,0.000629776459869482,0.00135308381499014,-0.00113935018905933,0.00305540762567286,-0.758546289292313,0.0312135525905099
"1999-11-24",0.00404909423862794,0.000502345533165368,0.0050513292189223,1.67856877572572,0.018835295477643,0.00867007069374294,0.000456635237507788,0.00517357761211724,-0.000718407689527828,0.00281193538674891,0.00152237071860516,-0.00161687006833783,0.00063021804146566,0.00141148367214256,-0.00116726599467133,0.00302550916287397,-0.758614369142414,0.0314082721756732
"1999-11-25",0.00404984804226411,0.000508310091629586,0.00505301296119509,1.67874657217671,0.0186428023135048,0.00864811488342445,0.000448074232816383,0.00514254234338998,-0.000715962693435237,0.00281194483289255,0.00152539371238566,-0.00161425121560761,0.000627769665334387,0.00141341215239804,-0.00115808294089826,0.00299758037072867,-0.759176074901948,0.032048993973212
"1999-11-26",0.00406441977509386,0.00051177340222005,0.00504915816267826,1.67891107240697,0.0184809530029112,0.00863131481409567,0.000442692948139264,0.00511645563989856,-0.000713714532811365,0.00281199713539531,0.00151026851627556,-0.00159686610511096,0.000625151680231926,0.00141572969117244,-0.00115109930275347,0.00296460711043382,-0.75969430380159,0.0326203894567489
"1999-11-29",0.0040667189594922,0.000505169503955413,0.00504165470338532,1.67896622274012,0.0183678651952726,0.00864761460186855,0.000423931068631611,0.00513429236325287,-0.000711338666722445,0.00281130137980519,0.00148430331191549,-0.00156717420879403,0.000620953906187357,0.00140895185451303,-0.0011420109295512,0.00296991038001762,-0.760028573345169,0.0330002071818221
"1999-11-30",0.00408010874908748,0.000509014542689214,0.00504249707341488,1.67864245645135,0.018706412068214,0.00857481244103209,0.000459364605419458,0.00512187841112429,-0.00071917545424735,0.00280828951687401,0.00146156718322706,-0.00151795071588148,0.000614557156599692,0.00162079625710754,-0.0012142172818054,0.00289422885560736,-0.759488119837878,0.0324034799780692
"1999-12-01",0.0040981143820728,0.000514820622832769,0.00507127705789877,1.67824018971322,0.0187690682682157,0.00857502935102389,0.000456105422375214,0.00516433402017928,-0.000727293581372056,0.00282663846246557,0.00147872308836758,-0.00150513216780344,0.000614808791457956,0.00166692517454652,-0.0012788002117851,0.00286133040484335,-0.758576815941572,0.0317506771430315
