"","FTSE100_returns_1984-05-08","Nikkei225_returns_1990-09-27","SP500_returns_1982-04-23","US_2Y_Note_returns_1990-06-26","US_30Y_returns_1977-08-24","AUD_returns_1987-01-15","CHF_returns_1975-02-18","GBP_returns_1975-02-18","Copper_returns_1959-07-07","Cotton_returns_1972-08-24","Brent_Crude_returns_1993-03-19","Heating_Oil_returns_bereinigt_1979-03-08","Natural_Gas_returns_1990-04-05","Gold_returns_1975-01-03","Platinum_returns_1969-01-06","Long_Gilt_returns_1990-08-21","US_5Y_Note_returns_1988-05-24","US_10Y_returns_1982-05-05"
"1997-02-25",0.0543718377863905,0.0768337012167005,0.0662006806169977,0,0.0712325766667665,0.0804801156999062,0.136672629687295,0.0326311580544719,0.085974049075091,0.0922959943360512,0.0669622784007362,0.0190617386971371,0.0743026046992725,0.0751733781210828,0.0239927784543029,0.0438144784877976,0,0
"1997-02-26",0.0544489791297296,0.0766734285752709,0.0661259984482368,0,0.0713870697688563,0.0807347680966476,0.136961352244344,0.0324377958112233,0.0862467620164597,0.0921626703662825,0.0668241815599561,0.0190826192158712,0.0741776868580209,0.0753342448633216,0.0236161180407685,0.0437863250050109,0,0
"1997-02-27",0.0545096456330323,0.0762599638865991,0.0658151753598081,0,0.0711258551377733,0.0803892493924884,0.135864949258884,0.0330337405379823,0.0873570898445721,0.0923697468085574,0.06750406971829,0.0183883008095936,0.0743549518649737,0.0739127296342739,0.0254404912167878,0.0436740408963839,0,0
"1997-02-28",0.0543631216973884,0.0761986550239076,0.0661487549826736,0,0.0709572252884372,0.0802174388873408,0.135684818753189,0.0330545284531819,0.0872333944217485,0.0922696906195818,0.0674937349897922,0.0182895228322057,0.0742978379024433,0.0739651714190798,0.0260690432925187,0.043757061436511,0,0
"1997-03-03",0.0542713804398178,0.075915951420161,0.0660165836585166,0,0.071587809362421,0.0803320158788594,0.135136437278649,0.0335054104681188,0.0872460935410853,0.0921434291447028,0.0671619937500084,0.0182780898300821,0.0743620460142884,0.0759708573297801,0.0247670591820454,0.0433048427014638,0,0
"1997-03-04",0.054294986328909,0.0758587718506562,0.0658274326813721,0,0.0717714207137251,0.0803197357297853,0.134705542186677,0.0340235030726522,0.0871159012388874,0.0921166636543196,0.067055320648938,0.0183295439158405,0.0743757056542557,0.075716410628457,0.0252891852894714,0.043199876406053,0,0
"1997-03-05",0.0543551793815343,0.0757799591287631,0.0658241976537466,0,0.0717394808134934,0.0802064496343373,0.134680571126569,0.0339813777863101,0.0870018992004947,0.0921267444063103,0.0672373903867659,0.0180958226429132,0.0747725510382378,0.0759764934033125,0.0251419821392377,0.0430799012579743,0,0
"1997-03-06",0.0547898247599632,0.0754334542124734,0.0678435592619688,0,0.0709573760842707,0.0800060656848121,0.135193190139308,0.0338091859434329,0.086565754486503,0.0925502070491733,0.067813022059311,0.017574062565463,0.0743986645079509,0.0753476529223318,0.0253798066348454,0.0423381736881928,0,0
"1997-03-07",0.0546058117804223,0.0761949265834979,0.0678674939196617,0,0.0709283500642185,0.0798822825157548,0.135196019734629,0.0337425207310249,0.0865052547375445,0.0924645194597769,0.0677725945033235,0.0174895651438691,0.0743388375559415,0.0755438285333719,0.0251629880556033,0.04230500668136,0,0
"1997-03-10",0.0545118693247321,0.0760594994967852,0.0677482828899511,0,0.0709789470463829,0.0796765016030529,0.134456534831848,0.0345425554918645,0.0865043149105934,0.0923101064825524,0.0676750804302185,0.0173905468018021,0.0742319306328875,0.075447069615015,0.0261161022261898,0.0423506582161242,0,0
"1997-03-11",0.0544447248462688,0.0758793254674464,0.0673233838280363,0,0.071282994127594,0.0796568116742131,0.134121150866374,0.0347240729562657,0.0869637261666742,0.0920984682908457,0.0686019084895162,0.0173428614029671,0.0741660069715821,0.0753145043244226,0.0258748833882218,0.0422051771995724,0,0
"1997-03-12",0.0543694700450826,0.0758416168401602,0.06747284284288,0,0.0712128459681126,0.0796522236133801,0.134142530786828,0.0346645869737213,0.0869362092854326,0.0921292303735184,0.0685957847916575,0.0173773085695836,0.0741837087703909,0.0753188319801657,0.0258545249964649,0.0422482841626216,0,0
"1997-03-13",0.0543280719389666,0.0757608604397704,0.0673612855890081,0,0.0711536081451777,0.0799802265665896,0.135314777218548,0.0337903710489475,0.0868058032148431,0.0919457547622856,0.0684151063773347,0.0178823428353077,0.0741736576274669,0.0751031056808454,0.0257058659650113,0.0422791625898975,0,0
"1997-03-14",0.0545227141481171,0.0751240427188395,0.0665793560413872,0,0.0712129798374482,0.0796384539958871,0.133937643966624,0.0348222034700035,0.0872459527490556,0.0918671866435308,0.0684761957713089,0.0182175612488829,0.0742871334496656,0.0754516282472581,0.0262136301182966,0.0424033175936951,0,0
"1997-03-17",0.054435069723105,0.0747821442763464,0.0664249427174747,0,0.0713252323771393,0.0792243133580708,0.133329399258975,0.0351855450159538,0.0869197231921069,0.0921346116963493,0.0686307202698442,0.0176376045922938,0.0746534338620942,0.0758198566818924,0.0267993664367505,0.0426980365416036,0,0
"1997-03-18",0.0541921905096669,0.0754866361779945,0.0670317138564929,0,0.0713587271104521,0.0791945096606053,0.13449908065348,0.0340075598376784,0.0868127665129177,0.0922225958574344,0.0691241962617387,0.0169627776893643,0.074499640708917,0.0740661412064549,0.0283013115697673,0.042240152387035,0,0
"1997-03-19",0.0539579788066859,0.0750166298342555,0.0679656717484656,0,0.0708647300173463,0.0794450649891849,0.134062159989731,0.0342597508579642,0.0868258889909368,0.0924342848152846,0.0690847387507577,0.0167014243164075,0.074596624012958,0.0729547203014415,0.0294586085924609,0.0423717239761196,0,0
