"","V1"
"1997-02-25",0.0015574154245885
"1997-02-26",0.00268693671997717
"1997-02-27",-0.00539574599392825
"1997-02-28",-0.00505895278646395
"1997-03-03",0.00182198341125743
"1997-03-04",0.0016203681076285
"1997-03-05",0.00393037139239845
"1997-03-06",0.00397879257945848
"1997-03-07",0.0018988596757273
"1997-03-10",0.00130069056766568
"1997-03-11",-0.000433200723033526
"1997-03-12",-0.00411138890710419
"1997-03-13",-0.00354926145789061
"1997-03-14",0.00325087832856354
"1997-03-17",-0.00263183488176759
"1997-03-18",-0.00430628611496314
"1997-03-19",-0.000442974436927762
"1997-03-20",-0.00305305719323485
"1997-03-21",-0.000788348578576784
"1997-03-24",0.00255092132539226
"1997-03-25",-0.00219422839891345
"1997-03-26",0.000278969399983414
"1997-03-27",-0.00521224358180286
"1997-03-31",-0.00467216114394843
"1997-04-01",0.0010267096317786
"1997-04-02",-0.00835774718013159
"1997-04-03",-0.00490178896767704
"1997-04-04",-0.000213917271171248
"1997-04-07",0.00207203809553163
"1997-04-08",0.0023119638823988
"1997-04-09",0.000331494172567004
"1997-04-10",-0.000222831485657796
"1997-04-11",-0.00728533742729128
"1997-04-14",0.00218281310278227
"1997-04-15",0.00318011271435171
"1997-04-16",-3.12424978358907e-05
"1997-04-17",-0.000196486156347849
"1997-04-18",0.00193697947087462
"1997-04-21",0.00285433551027211
"1997-04-22",0.0040704453806059
"1997-04-23",0.00116538459107529
"1997-04-24",0.000631565284093837
"1997-04-25",-0.00163955729602252
"1997-04-28",0.00224415119986703
"1997-04-29",0.00699695907592834
"1997-04-30",-0.0018875403097404
"1997-05-01",-0.00274424593677817
"1997-05-02",0.00163787254782911
"1997-05-05",0.00263474661959642
"1997-05-06",0.0031725024673305
"1997-05-07",-0.00395817309975355
"1997-05-08",0.00564477208602315
"1997-05-09",0.00423484834419788
"1997-05-12",0.00811551677585959
"1997-05-13",0.000569488600410129
"1997-05-14",0.00325631859073957
"1997-05-15",0.00319326471049711
"1997-05-16",-0.000601710668829067
"1997-05-19",0.000106972871502909
"1997-05-20",0.00400413236458991
"1997-05-21",0.00090642389032388
"1997-05-22",-0.00175923027304528
"1997-05-23",0.000656642536750377
"1997-05-27",0.000527541936710187
"1997-05-28",0.00420062445530374
"1997-05-29",-0.00125966993501682
"1997-05-30",-0.0049485349586095
"1997-06-02",-0.00334587233258821
"1997-06-03",-0.00161708380051062
"1997-06-04",0.00156458747623136
"1997-06-05",0.00761801406845965
"1997-06-06",0.00895243295213982
"1997-06-09",0.000756091262283163
"1997-06-10",-0.00137621689227161
"1997-06-11",0.00234308155885228
"1997-06-12",-0.000547221404189467
"1997-06-13",0.000501024052927833
"1997-06-16",-0.00231405961326295
"1997-06-17",-0.00363432591506549
"1997-06-18",-0.00299858976684938
"1997-06-19",0.00335717671308856
"1997-06-20",-0.00121809084998849
"1997-06-23",-0.00353169127201446
"1997-06-24",0.00557544223431177
"1997-06-25",0.00102115438394583
"1997-06-26",0.00211728913154055
"1997-06-27",0.00337877825555646
"1997-06-30",0.00198914970181037
"1997-07-01",0.00514962954027752
"1997-07-02",0.0056860108629733
"1997-07-03",0.00470875513564528
"1997-07-04",0.00565533560103691
"1997-07-07",-0.00345835590632017
"1997-07-08",-0.0030458821128182
"1997-07-09",-0.00488900599088488
"1997-07-10",-0.0015397703965849
"1997-07-11",0.00466374764027505
"1997-07-14",-0.000865045096060102
"1997-07-15",0.0040655212580469
"1997-07-16",0.00451244981400628
"1997-07-17",-0.00302159672889136
"1997-07-18",-0.0085072362691111
"1997-07-21",0.000939016744296346
"1997-07-22",0.00884087582604325
"1997-07-23",0.00125488424591
"1997-07-24",0.00318577970477161
"1997-07-25",2.50150874039351e-05
"1997-07-28",-0.00583211263250116
"1997-07-29",0.00464253929068416
"1997-07-30",0.00217926255832449
"1997-07-31",0.00184403256961022
"1997-08-01",0.0025399603537052
"1997-08-04",0.00825598629496367
"1997-08-05",0.00222956869136961
"1997-08-06",-0.00452849124438218
"1997-08-07",-0.00200514196073939
"1997-08-08",-0.00423312087620311
"1997-08-11",0.000168183395246587
"1997-08-12",-0.00335067204717952
"1997-08-13",-0.00238333735184032
"1997-08-14",-0.0016622125450362
"1997-08-15",-0.0107684336141087
"1997-08-18",0.00124739869226326
"1997-08-19",0.000761528178281954
"1997-08-20",0.00525340449549792
"1997-08-21",-0.00418651126008863
"1997-08-22",-0.00281172013863154
"1997-08-25",-0.00229539946428983
"1997-08-26",-0.00742167194381454
"1997-08-27",0.0040802539679059
"1997-08-28",-0.0034600145771375
"1997-08-29",0.00113372903147244
"1997-09-01",0.00237167192249018
"1997-09-02",0.00625662831636486
"1997-09-03",-0.00184424641533788
"1997-09-04",0.00566011038944434
"1997-09-05",-0.000811027108983046
"1997-09-08",-0.000267430109681858
"1997-09-09",0.0027465228027147
"1997-09-10",-0.00150056164599206
"1997-09-11",-0.00346755032458287
"1997-09-12",0.00268194066800467
"1997-09-15",0.000528950915076917
"1997-09-16",0.0027243571976042
"1997-09-17",0.00137375963807961
"1997-09-18",0.00271645814553632
"1997-09-19",0.00192472021251392
"1997-09-22",0.00320719830797976
"1997-09-23",-0.000902542361725846
"1997-09-24",-0.00158080390469428
"1997-09-25",-0.00467400252119937
"1997-09-26",0.00481497472532443
"1997-09-29",0.00474835083486182
"1997-09-30",-0.00481091513437096
"1997-10-01",0.00145318187598129
"1997-10-02",0.005285513291916
"1997-10-03",0.00450425276238293
"1997-10-06",-0.00486157560144844
"1997-10-07",0.00623624851933889
"1997-10-08",0.000397676870022151
