"","V1"
"1997-02-25",0.00505625273123318
"1997-02-26",-0.00118491272007552
"1997-02-27",-0.00216302500223485
"1997-02-28",-0.00545098766069114
"1997-03-03",0.0012038480945157
"1997-03-04",0.00584352759608466
"1997-03-05",-0.00732332606316074
"1997-03-06",0.00317045498000339
"1997-03-07",0.00477143397108661
"1997-03-10",0.00128445614694128
"1997-03-11",0.000258557532348282
"1997-03-12",-0.00103550662471583
"1997-03-13",-0.0058584298690819
"1997-03-14",0.00636981494833146
"1997-03-17",-0.00874081198393958
"1997-03-18",0.00400280459931642
"1997-03-19",3.30799662816717e-05
"1997-03-20",-0.00159598415910989
"1997-03-21",-0.00204709171246744
"1997-03-24",-0.00421355702309659
"1997-03-25",0.000354554475190466
"1997-03-26",-0.00153920997329055
"1997-03-27",0.000351180264485854
"1997-03-31",-0.00398278564939687
"1997-04-01",-0.0017322841140181
"1997-04-02",-0.00468262745022636
"1997-04-03",-0.00276949624281831
"1997-04-04",0.000248852093811857
"1997-04-07",-0.00445487358926303
"1997-04-08",0.00196658832838759
"1997-04-09",-0.00238054305983328
"1997-04-10",2.18959684790474e-05
"1997-04-11",-0.00198249097279966
"1997-04-14",0.000793885953261766
"1997-04-15",0.00123854975690123
"1997-04-16",-0.00103656079363728
"1997-04-17",0.00486892962708544
"1997-04-18",0.00481040748061865
"1997-04-21",0.00412342704053624
"1997-04-22",0.0023032027580534
"1997-04-23",-0.000257648643170799
"1997-04-24",-0.000459976711360269
"1997-04-25",0.00058910846668559
"1997-04-28",-0.00182000969170602
"1997-04-29",0.00942567470607898
"1997-04-30",0.00500948090362931
"1997-05-01",-0.00113443795553185
"1997-05-02",0.00228826326149727
"1997-05-05",-0.000296848384959081
"1997-05-06",0.00551767152870376
"1997-05-07",-0.000119610113673583
"1997-05-08",0.00540194042465943
"1997-05-09",0.00295760633686829
"1997-05-12",0.00700573284077332
"1997-05-13",-0.00168823575990744
"1997-05-14",0.00481350377230436
"1997-05-15",-6.76196054422173e-05
"1997-05-16",0.00435316749298281
"1997-05-19",-0.00271503705547689
"1997-05-20",0.00416470092485144
"1997-05-21",-0.00178276994970571
"1997-05-22",-0.00216250933530447
"1997-05-23",0.00263810869975236
"1997-05-27",-0.00219199163591306
"1997-05-28",0.00346739512205423
"1997-05-29",-0.000903780112267083
"1997-05-30",-0.0039535765381165
"1997-06-02",-0.00693697090255702
"1997-06-03",-0.0021478618706249
"1997-06-04",-0.00162332404183507
"1997-06-05",0.00299102899384554
"1997-06-06",0.00149078420852451
"1997-06-09",-0.00216257460170108
"1997-06-10",0.00221619723789103
"1997-06-11",7.85371706991481e-05
"1997-06-12",0.000718527868202744
"1997-06-13",0.00256877830380418
"1997-06-16",0.000707462901621116
"1997-06-17",-0.00178914997061513
"1997-06-18",-0.00319284595159539
"1997-06-19",0.00504328590231913
"1997-06-20",-0.00475994042910698
"1997-06-23",-0.000792980518066517
"1997-06-24",0.000281091433445039
"1997-06-25",0.000359939104258551
"1997-06-26",-0.00413197676917955
"1997-06-27",0.000728674847435699
"1997-06-30",0.000167544249079504
"1997-07-01",-0.000137141343440034
"1997-07-02",0.00131655337972732
"1997-07-03",-0.00288340696880257
"1997-07-04",-0.00175707903709096
"1997-07-07",-0.00960547516366385
"1997-07-08",-0.000239024690207937
"1997-07-09",-0.00543871111543224
"1997-07-10",0.00240500245606842
"1997-07-11",0.000359765763387085
"1997-07-14",0.0021227136126165
"1997-07-15",0.00202121083708019
"1997-07-16",0.0031170716328758
"1997-07-17",0.00496997872881608
"1997-07-18",-0.0027426814703103
"1997-07-21",-0.00349673928175333
"1997-07-22",0.00309687338612023
"1997-07-23",-0.000490213289399858
"1997-07-24",0.00279998548999651
"1997-07-25",0.00304972792957585
"1997-07-28",0.000669235182889999
"1997-07-29",0.000542016065641196
"1997-07-30",0.00122569679020243
"1997-07-31",0.00278216381442392
"1997-08-01",-0.00406284578257341
"1997-08-04",0.00709257509916735
"1997-08-05",-0.00185534121921497
"1997-08-06",-0.00173089636935264
"1997-08-07",0.000747982424195475
"1997-08-08",-0.00182260272514681
"1997-08-11",0.000977027310143691
"1997-08-12",-0.00305811213472189
"1997-08-13",0.00237280609312124
"1997-08-14",-0.00331940256593635
"1997-08-15",-0.00685502384663245
"1997-08-18",-0.00491918069626703
"1997-08-19",0.0053599931675273
"1997-08-20",0.000164820874969664
"1997-08-21",-0.00535529026338349
"1997-08-22",0.00267646445536829
"1997-08-25",-0.00392806980447545
"1997-08-26",-0.00123998218551137
"1997-08-27",0.000782737012378986
"1997-08-28",0.00146598976065315
"1997-08-29",0.00172591779502936
"1997-09-01",0.00228539867996551
"1997-09-02",0.00179117006047825
"1997-09-03",0.00163280806965894
"1997-09-04",-0.00219884232658154
"1997-09-05",0.00345261242487271
"1997-09-08",-0.0028539284689289
"1997-09-09",-0.000151854599407506
"1997-09-10",-0.00159978268156182
"1997-09-11",-0.002724473804047
"1997-09-12",0.00601098314270319
"1997-09-15",0.000976379416033612
"1997-09-16",0.00156470983547908
"1997-09-17",-0.00381345808827263
"1997-09-18",0.00948559338295677
"1997-09-19",-0.00154244083559457
"1997-09-22",0.0059162144213363
"1997-09-23",0.00195995227249403
"1997-09-24",0.00411051929185336
"1997-09-25",0.00580894690017137
"1997-09-26",0.000479881506716952
"1997-09-29",-0.000159946001450058
"1997-09-30",-0.00153144464973994
"1997-10-01",0.00265394523195124
"1997-10-02",-0.000995296812978594
"1997-10-03",0.00732191356783398
"1997-10-06",-0.00787449853909324
"1997-10-07",-0.00216663120807441
