"","V1"
"1997-02-25",-0.00043317286746249
"1997-02-26",-0.000189175015769804
"1997-02-27",0.000118372061324246
"1997-02-28",-0.000627401860194729
"1997-03-03",1.47389649829482e-05
"1997-03-04",0.000315461808251427
"1997-03-05",-0.000606280129557854
"1997-03-06",-9.34554602822274e-05
"1997-03-07",0.000179978949388961
"1997-03-10",0.000174734097049182
"1997-03-11",0.000569784159884992
"1997-03-12",-0.000281941554635409
"1997-03-13",-0.000335812757588744
"1997-03-14",0.000463572225796769
"1997-03-17",-0.000386799615434397
"1997-03-18",-9.83113761232651e-05
"1997-03-19",4.62636333629795e-05
"1997-03-20",-0.000279095490548468
"1997-03-21",-0.000811461619980748
"1997-03-24",-0.000382476246760513
"1997-03-25",-0.000342635895724643
"1997-03-26",-2.82517529662031e-05
"1997-03-27",-0.000176759302817365
"1997-03-31",0.000551801286407711
"1997-04-01",6.91149212472905e-06
"1997-04-02",-0.000243383934014071
"1997-04-03",0.00013782431843564
"1997-04-04",-8.74304831278473e-05
"1997-04-07",4.34317671552554e-05
"1997-04-08",0.000107236435862643
"1997-04-09",0.000307566110782628
"1997-04-10",-0.000154637131180687
"1997-04-11",-0.000338578199641142
"1997-04-14",-0.000180298304679063
"1997-04-15",0.000125345085719128
"1997-04-16",-0.000178838234296537
"1997-04-17",0.000326481805402567
"1997-04-18",6.02803968508835e-06
"1997-04-21",0.000289199177577755
"1997-04-22",-6.54082495995417e-05
"1997-04-23",5.74830473288951e-05
"1997-04-24",-0.000403703927129499
"1997-04-25",0.000109769942260471
"1997-04-28",0.000427520165137617
"1997-04-29",0.000890770676415125
"1997-04-30",-0.000413417336529561
"1997-05-01",-0.000203950394016634
"1997-05-02",0.000228792228228112
"1997-05-05",4.88563598592404e-05
"1997-05-06",-0.000413382492794224
"1997-05-07",0.000215485311399479
"1997-05-08",0.000640264517704126
"1997-05-09",0.000421930731008091
"1997-05-12",0.000300472250358791
"1997-05-13",-0.00041456862228196
"1997-05-14",4.10169372110605e-05
"1997-05-15",0.000808587813511526
"1997-05-16",-0.000751096121969028
"1997-05-19",-0.000202552429678637
"1997-05-20",0.000604875597076285
"1997-05-21",0.000458544918326614
"1997-05-22",0.000421852281179378
"1997-05-23",-3.44749302038697e-05
"1997-05-27",-0.000298329658756142
"1997-05-28",-0.000350230597084188
"1997-05-29",0.000656456399356797
"1997-05-30",-0.000405390086489454
"1997-06-02",-0.000512263125795918
"1997-06-03",0.000145973495124891
"1997-06-04",-0.000430415956810907
"1997-06-05",3.88500431129564e-05
"1997-06-06",0.000429358646133421
"1997-06-09",-0.0003034820913607
"1997-06-10",7.55432886784161e-05
"1997-06-11",-0.000206641915027973
"1997-06-12",0.000214933159468502
"1997-06-13",0.000127179449010319
"1997-06-16",8.53736619972398e-05
"1997-06-17",-0.000154176752784211
"1997-06-18",-2.30068596673558e-06
"1997-06-19",1.04920962550697e-06
"1997-06-20",1.75945266800842e-05
"1997-06-23",5.01644805841302e-05
"1997-06-24",0.000199695948488992
"1997-06-25",0.00010854018320567
"1997-06-26",0.000947231552857773
"1997-06-27",2.10130938096376e-05
"1997-06-30",-0.000186975792542394
"1997-07-01",0.000198826485096707
"1997-07-02",-0.000483221259492841
"1997-07-03",0.000226247990454064
"1997-07-04",0.000157962859914778
"1997-07-07",-0.000364317833796031
"1997-07-08",0.000280916734246526
"1997-07-09",-9.12340005397027e-05
"1997-07-10",-0.000417713963234417
"1997-07-11",-0.000321659654861126
"1997-07-14",-9.1564933819237e-05
"1997-07-15",0.000145958140112387
"1997-07-16",0.000144073388236508
"1997-07-17",4.35292615835159e-05
"1997-07-18",0.000173204846807978
"1997-07-21",-0.000629877920957449
"1997-07-22",0.00026854301255993
"1997-07-23",-0.000138070211446662
"1997-07-24",-0.00017025023870352
"1997-07-25",0.000124046328917957
"1997-07-28",0.000305495118772129
"1997-07-29",0.000570315507438301
"1997-07-30",-0.000192930734312573
"1997-07-31",-0.000611606635651576
"1997-08-01",-0.000317527920437949
"1997-08-04",0.000397515351746278
"1997-08-05",-0.000147380263312506
"1997-08-06",-0.000194132761304061
"1997-08-07",0.000270345696877648
"1997-08-08",0.000977878056417343
"1997-08-11",0.000919293331465907
"1997-08-12",-0.000490347896044099
"1997-08-13",0.00106619787585771
"1997-08-14",-0.00039297341852552
"1997-08-15",0.000223721061194098
"1997-08-18",-0.00029155937824376
"1997-08-19",-0.000143035617962359
"1997-08-20",-0.000313647571066828
"1997-08-21",5.70680026298149e-05
"1997-08-22",0.000806929623427088
"1997-08-25",-0.000647900317290975
"1997-08-26",-5.88676029194594e-05
"1997-08-27",2.27609657888266e-05
"1997-08-28",9.81710545571147e-05
"1997-08-29",-0.000656928780447379
"1997-09-01",-0.000566351420266139
"1997-09-02",0.00036212152862276
"1997-09-03",-0.000107421500965629
"1997-09-04",0.00033370436597202
"1997-09-05",0.000172497240410727
"1997-09-08",9.26036641818952e-05
"1997-09-09",-0.000289857278566956
"1997-09-10",0.000154318225363703
"1997-09-11",-0.000112812096183581
"1997-09-12",-4.66183479003678e-05
"1997-09-15",0.000106682799495284
"1997-09-16",-0.000610496427361581
"1997-09-17",4.84235000689953e-05
"1997-09-18",0.000201662564428287
"1997-09-19",-0.000314975959328503
"1997-09-22",-4.14396290969235e-05
"1997-09-23",-0.000160321262398562
"1997-09-24",0.000611728409027074
"1997-09-25",1.62862237345816e-05
"1997-09-26",0.000330745160084773
"1997-09-29",-0.000163202952038091
"1997-09-30",-0.000156695529230231
"1997-10-01",0.000239376482645944
"1997-10-02",0.000100858481787263
